name;id;grade;age;email
Giavanna Rivers;263033;2;;
Bear Hancock;983087;3;;
Katelyn Dougherty;377667;4;;
Brett Krueger;937732;2;;
Kamari Russell;907671;4;;
Weston Mayo;127689;2;;
Aarya Pearson;459836;3;;
Gunner Young;572896;2;;
Zoey Brown;490530;4;;
Elijah Rocha;384503;1;;
Emmie Richardson;787877;1;;
Robert Fitzpatrick;130668;1;;
Annabella Ford;679221;4;;
Luis York;72126;1;;
Milan Duncan;88704;1;;
Avery Shaw;948861;4;;
Emersyn Yates;881763;3;;
Braylon Branch;715658;5;;
Luisa Benton;546558;3;;
Jamal Boone;139627;1;;
Mariam Guevara;827224;2;;
Tommy West;926402;5;;
Remi Velez;707478;5;;
Kareem Short;886098;3;;
Cheyenne Harris;618424;3;;
Samuel O?Connor;394528;5;;
Charli Matthews;69762;4;;
Preston Khan;471683;3;;
Mabel Poole;480273;2;;
Quincy O?Connor;346910;5;;
Charli Fletcher;802621;5;;
Jay Schaefer;213404;1;;
Mavis Harrison;14203;4;;
Gavin Cunningham;239476;4;;
Marley Bates;158893;2;;
Ellis Shields;588961;3;;
Analia Wiley;460670;5;;
Mathew Harrington;933108;5;;
Legacy Walter;251624;1;;
Lochlan Tate;30927;3;;
Skye Lu;292230;1;;
Duncan White;829752;3;;
Layla Sosa;758064;1;;
Emir Leonard;231587;4;;
Demi Peralta;459248;3;;
Dangelo Todd;11068;1;;
Zariah Acevedo;382934;3;;
Dakari Dyer;504797;1;;
Estrella Dougherty;693076;4;;
Brett Wu;277031;3;;
Liana Reynolds;396792;5;;
Vincent Lane;314358;3;;
Amy Castro;63613;3;;
Jasper Contreras;682537;3;;
Daniela Ware;370460;3;;
Tadeo Gilmore;328154;5;;
Chanel Lin;648625;1;;
Conor Compton;550609;3;;
Elina Reilly;176393;3;;
Alvaro Silva;611541;3;;
Lucia Wise;269492;5;;
Frederick Bishop;23699;4;;
Brooklynn Johnson;15640;4;;
Noah Goodman;658180;5;;
Carolina Marks;754065;4;;
Amos Hughes;249502;4;;
Samantha Griffith;255876;5;;
Franklin Jensen;846495;5;;
Jane Jordan;881453;3;;
Sawyer Gibson;964260;3;;
Eden Harvey;95832;1;;
Cayden Rivers;969155;2;;
Kiana Le;644194;4;;
Damien Ventura;786912;4;;
Zora Richmond;975750;1;;
Mordechai Strong;630750;2;;
Margo Norton;290336;4;;
Callen Murphy;918428;1;;
Bella Arellano;117327;5;;
Kellan Barry;676764;1;;
Waverly Donaldson;546619;3;;
Canaan Conway;721683;3;;
Ryann McClure;950064;4;;
Reese Dodson;965753;5;;
Etta Lucero;814151;3;;
Felipe Grimes;200597;5;;
Braelyn Meadows;944038;2;;
Wayne Delgado;348795;2;;
Alani Doyle;465765;2;;
Kashton Henderson;92402;1;;
Maria Harrell;243225;2;;
Nelson Durham;887157;3;;
Tiffany Herman;415059;2;;
Juelz Stephens;452471;3;;
Millie Evans;904578;2;;
Elias Byrd;44221;5;;
Giselle Quintana;515882;3;;
Kelvin Macias;303956;4;;
Adley McLean;189705;5;;
Crosby Flynn;764772;2;;
Iyla Kelley;31094;;47;
Eric Oliver;80405;;58;
Camille Schmitt;44321;;38;
Murphy Bailey;33446;;31;
Kennedy Lawrence;93958;;41;
Kaleb Wilkerson;15884;;37;
Janiyah Moyer;47907;;36;
Ahmir Waters;39550;;25;
Bristol Vaughan;99826;;60;
Castiel Benitez;51758;;38;
Aliza Wade;26905;;55;
Jake Good;45235;;20;
Nathalia Perry;372;;39;
Waylon Copeland;54772;;34;
Dayana Williamson;68035;;27;
Emerson Woodward;63019;;47;
Drew Vaughan;93435;;39;
Castiel Carter;76642;;29;
Lucy Parker;86344;;39;
Caleb Jenkins;69426;;18;
Rylee O?Donnell;68097;;48;
Lian Rice;1230;;44;
Ada Hurley;24011;;34;
Van Dennis;39576;;21;
Maisie Pugh;99597;;34;
Judson Navarro;68590;;60;
Winter Walton;25741;;56;
Dominick Hoover;73459;;57;
Virginia Lopez;15570;;47;
Michael Patterson;12730;;48;
Kaylee Dodson;26529;;32;
Seven Schaefer;94467;;44;
Mavis Gibson;94512;;23;
Tyler Lim;92388;;48;
Giavanna Wilkerson;28218;;34;
Carmelo Molina;60893;;57;
Alexandria Long;28311;;34;
Jace Sheppard;67507;;51;
Veda James;92646;;26;
Jaxson McKee;88051;;38;
Kori Cummings;62609;;20;
Raiden Vega;27650;;46;
Dakota Hobbs;13641;;21;
Brendan Decker;11494;;28;
